"division","isFreshBlood","isHotStreak","isInactive","isVeteran","leaguePoints","losses","playerOrTeamId","playerOrTeamName","wins"
"I","false","false","false","false","467","304","40135517","NaVi SozPurefect","368"
"I","true","false","false","false","541","134","74067492","sneki fanboy","169"
"I","false","false","false","true","751","270","19047300","Mouz Caps","332"
"I","false","false","false","true","541","155","33678783","Arphan","185"
"I","false","false","false","true","938","213","19652383","HolyPhoénix","269"
"I","false","false","false","true","851","258","35432335","Kaostanza","332"
"I","false","false","false","false","727","80","81198200","mBvjhiaN","123"
"I","false","false","false","true","1204","212","19474104","iSatorius","342"
"I","true","true","false","false","567","500","22079969","Chat spam JD","568"
"I","false","true","false","false","511","402","23717728","Kog Meoww ","429"
"I","false","false","false","false","605","104","21608172","Memento v2","168"
"I","false","false","false","false","515","41","71137717","Noxiak v3","82"
"I","false","true","false","true","960","60","52230164","MrRaIIeZ v3","126"
"I","false","false","false","true","504","322","41528584","Nemesîsi","371"
"I","false","false","false","false","909","75","19671824","Call 911 Now","151"
"I","false","false","false","true","1020","193","37748436","Captain Alphari","327"
"I","true","false","false","false","492","205","34148603","EL Eikaaa","243"
"I","false","false","false","false","477","133","37147607","Shiny Victini","172"
"I","true","true","false","false","645","183","27378490","K1CK rhuckz ","231"
"I","true","true","false","false","458","448","41882049","Elosatan Doxy","501"
"I","true","true","false","false","456","46","80767393","Elo Łysy Here","93"
"I","false","false","false","true","769","173","44748697","Sebekx","228"
"I","false","false","false","false","494","107","77480142","dopa v2","160"
"I","false","false","false","false","620","82","19814737","K1CK Kepe","119"
"I","false","false","false","true","800","123","36807362","mouz Norskeren","187"
"I","true","false","false","false","689","106","20717177","FNC Rekkles","226"
"I","false","false","false","true","816","394","34593991","EXORKER","491"
"I","false","true","false","false","600","280","29919341","xthgsjk","325"
"I","true","false","false","false","475","193","33484086","K1CK LeChase","225"
"I","false","false","false","false","520","98","29544527","Luddehz","140"
"I","false","false","false","true","571","132","31558666","k0ù","172"
"I","false","false","false","true","503","83","46347711","ESG Sedrion","135"
"I","false","true","false","false","466","141","23595556","Zh3rGoth","176"
"I","false","true","false","true","511","90","25875433","Hustlinbeastv2","132"
"I","true","false","false","false","495","292","38897115","diczysquad","327"
"I","false","false","false","false","541","126","19751358","Kikis","176"
"I","false","true","false","false","504","109","29576970","Touch","148"
"I","true","true","false","false","453","152","58727383","zoiren smurf","186"
"I","false","false","false","false","567","218","21781690","Elysium Delitto","270"
"I","false","false","false","false","702","38","19829477","Noxiak v2","106"
"I","false","false","false","false","455","58","27578815","TheyCallMeDMG","91"
"I","false","false","false","false","527","301","40956922","Yaphets","344"
"I","false","false","false","false","519","310","22850276","HolyPhoénix Pet","345"
"I","false","false","false","false","1051","72","23323006","INisqy","131"
"I","false","true","false","false","485","145","31837151","Enigma Revoltecc","181"
"I","false","true","false","false","730","48","32284608","Hans senpaï","132"
"I","true","false","false","false","469","64","44749129","King of Ginger","108"
"I","false","true","false","false","473","76","66783180","Thé Exiled Three","118"
"I","false","true","false","true","699","251","22455406","Mumpaler","325"
"I","false","false","false","true","951","217","40219771","Humanoiidd","275"
"I","false","false","false","false","533","54","52200067","llIlllllIIllllll","115"
"I","true","false","false","false","475","82","80767422","DimáJke","116"
"I","false","false","false","true","559","192","71500","Wickd","279"
"I","false","false","false","false","488","83","21614611","Rífty","103"
"I","false","true","false","true","876","181","73307026","GL IN ESPORTS","371"
"I","true","true","false","false","452","145","24019484"," Senii Seviyorun","233"
"I","false","false","false","false","699","92","71720680","SezzeR","143"
"I","false","true","false","false","678","45","19859377","V nukeduck","92"
"I","false","false","false","false","482","196","19708052","betong","226"
"I","false","false","false","false","776","74","46887514","Karwox","114"
"I","false","false","false","false","460","76","20782709","zytán","111"
"I","false","false","false","true","472","200","19987785","H1IVAFFFFFFFFFFF","305"
"I","false","false","false","true","753","129","44635060","MagiFelix","201"
"I","false","false","false","false","470","154","35454505","Abariaa","183"
"I","false","false","false","true","656","256","81567697","ROX Smeb","321"
"I","false","true","false","false","607","141","19331430","Séncux","183"
"I","false","false","false","true","458","78","27427030","SUP Achuu","112"
"I","false","false","false","true","742","118","38848486","0C0","184"
"I","true","false","false","false","455","85","70457274","Kehvo","119"
"I","false","false","false","true","521","123","21886914","Xerxe","161"
"I","false","false","false","false","560","77","20564599","Phones EX","109"
"I","false","false","false","true","1070","64","76406887","Gilius 1v9","150"
"I","true","false","false","false","469","238","22676062","Visdom","272"
"I","true","true","false","false","780","63","36139801","omelette barney","107"
"I","false","false","false","true","766","85","22136916","V kaSing","163"
"I","false","false","false","true","719","105","27408923","Candyfloss","157"
"I","true","true","false","false","459","134","28052021","K1CK Xico","163"
"I","true","false","false","false","560","211","83180","Steeelback1","254"
"I","false","false","false","false","495","58","26886928","Tvenyon","85"
"I","false","true","false","true","644","103","29108174","Phurion","143"
"I","false","false","false","true","627","124","73340295","CJ Entus Bdd","166"
"I","false","false","false","false","557","62","69868142","OG DrEvil","95"
"I","false","false","false","false","543","72","19024737","PlagiaT","110"
"I","false","false","false","true","600","89","70577316","twitchtvLoLRudy","111"
"I","false","false","false","true","613","108","44181938","Seikarii","145"
"I","false","false","false","false","489","74","372983","OG Smeb","107"
"I","false","false","false","false","563","275","22082647","Akutsuné","309"
"I","true","true","false","false","454","114","23925674","Seffe","152"
"I","true","false","false","false","476","220","23026014","NaJin PraY","258"
"I","true","false","false","false","503","339","25172606","MUHAMMAD ALl","367"
"I","false","false","false","false","454","86","20610206","noway2u","110"
"I","false","true","false","false","505","371","20898665","IIIIIIIlIlIlIIlI","411"
"I","false","false","false","false","463","101","23627306","G2V Send0o","127"
"I","false","true","false","false","722","79","21667309","Mei Ayakura","127"
"I","false","false","false","false","605","83","23218947","H3h3h3h3h3h3h3h3","116"
"I","false","true","false","true","692","94","52312462","1v9asperkzusual","180"
"I","false","false","false","false","487","90","20607801","LUKEZY THE EXPLO","124"
"I","false","false","false","false","475","83","83567104","Europern","115"
"I","false","false","false","false","480","63","61000543","GIA Atom","87"
"I","false","true","false","false","471","56","23096697","DemonBytes","98"
"I","false","false","false","false","583","94","41518117","MaxiIoI","133"
"I","false","false","false","false","754","96","27379348","Gakis v2","152"
"I","false","false","false","false","558","141","38819063","Kadir123","180"
"I","true","false","false","false","466","100","70797806","SherrifFreaky64","148"
"I","false","true","false","true","758","180","36632741","s6XDSMILEYXDs6XD","238"
"I","false","false","false","false","462","87","44939235","lIIIlIlllIllIlIl","112"
"I","false","false","false","false","615","87","19160377","qwerdf1234","168"
"I","false","false","false","false","897","55","69868149","NKM Key","98"
"I","true","true","false","false","452","231","28209495","Raizins","270"
"I","true","false","false","false","516","194","20537397","LittlBirdNardeus","227"
"I","true","true","false","false","629","186","29342259","KR Jungle Import","226"
"I","false","false","false","false","494","17","84557369","Hans S0L0","80"
"I","false","true","false","true","1093","72","22322085","M Hans sama","139"
"I","true","false","false","false","457","228","19149907","GIA Sämux","273"
"I","false","false","false","true","737","194","19898783","Phaxi","238"
"I","true","false","false","false","477","213","38167151","Park Choa","249"
"I","true","false","false","false","548","159","27865763","LAMA Tonerre","198"
"I","false","true","false","true","845","234","53436826","Dawidsonek","289"
"I","false","false","false","true","710","139","20160611","Gakis","180"
"I","false","false","false","false","545","227","22480079","AtraX Belze","280"
"I","false","false","false","true","694","189","44689773","Sarafian","268"
"I","false","false","false","false","731","65","79768938","LichRisZmak","115"
"I","false","false","false","false","702","51","19524719","MM noway4u","92"
"I","false","false","false","true","473","196","43860734","GOD REDEEMED ME ","233"
"I","true","false","false","false","453","287","21556034","ScarfaceLUL","333"
"I","false","false","false","false","781","45","21001130","Odoamne","115"
"I","false","false","false","false","666","204","35047682","SLEEPlNG","235"
"I","false","false","false","true","726","315","22633277","Yoppa","374"
"I","false","true","false","true","693","89","23717140","Paweł Pruski","150"
"I","false","false","false","false","527","76","44524539","xSaanchez","108"
"I","false","false","false","false","563","47","21653685","CW SirNukesAlot","86"
"I","true","false","false","false","549","194","62037423","SirNukesAIot","244"
"I","false","false","false","false","631","50","31298909","DuCo","91"
"I","false","true","false","false","928","69","37802452","KlREI","153"
"I","true","false","false","false","529","324","24428523","ArrowsofAlfar","366"
"I","true","true","false","false","458","232","19533966","Vega Žàñźâràh","273"
"I","false","false","false","false","517","165","22371049","NiP Bjergsen","196"
"I","true","true","false","false","461","310","36804632","dope dont work ","344"
"I","false","true","false","false","574","36","36216959","mouz Dan","78"
"I","false","false","false","true","598","103","44246835","Mighty Holy Cow","141"
"I","false","false","false","false","662","71","69868141","GL AT WORLDSHAHA","131"
"I","true","false","false","false","469","176","21017098","SK Vardags","213"
"I","false","false","false","false","578","106","20401895","MM Kitty","146"
"I","false","false","false","false","557","56","20656837","v Cabochard","91"
"I","false","false","false","false","567","71","22447540","Godbro Onííchan","99"
"I","true","true","false","false","510","350","28887345","Eden Fox","398"
"I","false","false","false","false","453","142","60147380","Emta v2","174"
