"item1_1_player","item2_1_player","item3_1_player","item4_1_player","item5_1_player","item6_1_player","item7_1_player"
"Farsight Alteration","Liandry's Torment","Rabadon's Deathcap","Rylai's Crystal Scepter","Spectre's Cowl","Void Staff","deletedItem"
"Blasting Wand","Boots of Mobility","Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Rylai's Crystal Scepter","Void Staff"
"Blasting Wand","Eye of the Watchers","Liandry's Torment","Needlessly Large Rod","Oracle Alteration","Rylai's Crystal Scepter","deletedItem"
"Boots of Mobility","Frost Queen's Claim","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Total Biscuit of Rejuvenation","void"
"Doran's Ring","Liandry's Torment","Needlessly Large Rod","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)","void"
"Boots of Speed","Farsight Alteration","Frost Queen's Claim","Needlessly Large Rod","void","void","void"
"Frost Queen's Claim","Haunting Guise","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","void"
"Boots of Mobility","Farsight Alteration","Frost Queen's Claim","Ruby Crystal","Rylai's Crystal Scepter","Sightstone","void"
"Doran's Ring","Fiendish Codex","Forbidden Idol","Liandry's Torment","Mercury's Treads","Rylai's Crystal Scepter","Warding Totem (Trinket)"
"Amplifying Tome","Farsight Alteration","Frost Queen's Claim","Liandry's Torment","Rylai's Crystal Scepter","Sorcerer's Shoes","void"
"Frostfang","Ionian Boots of Lucidity","Liandry's Torment","Warding Totem (Trinket)","void","void","void"
"Amplifying Tome","Blasting Wand","Frost Queen's Claim","Ruby Crystal","Rylai's Crystal Scepter","Sorcerer's Shoes","Warding Totem (Trinket)"
"Amplifying Tome","Doran's Ring","Health Potion","Needlessly Large Rod","Warding Totem (Trinket)","void","void"
"Frostfang","Ionian Boots of Lucidity","Liandry's Torment","Needlessly Large Rod","Total Biscuit of Rejuvenation","Warding Totem (Trinket)","void"
"Doran's Ring","Farsight Alteration","Haunting Guise","Rylai's Crystal Scepter","Sorcerer's Shoes","void","void"
"Doran's Ring","Farsight Alteration","Haunting Guise","Ionian Boots of Lucidity","Needlessly Large Rod","Rabadon's Deathcap","Rylai's Crystal Scepter"
"Amplifying Tome","Frost Queen's Claim","Giant's Belt","Ionian Boots of Lucidity","Sightstone","Sweeping Lens (Trinket)","void"
"Eye of the Watchers","Liandry's Torment","Mejai's Soulstealer","Needlessly Large Rod","Rylai's Crystal Scepter","Sweeping Lens (Trinket)","deletedItem"
"Farsight Alteration","Frost Queen's Claim","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","void","void"
"Blasting Wand","Farsight Alteration","Rod of Ages","Rylai's Crystal Scepter","Sorcerer's Shoes","Total Biscuit of Rejuvenation","Zhonya's Hourglass"
"Frostfang","Liandry's Torment","Needlessly Large Rod","Ruby Crystal","Warding Totem (Trinket)","deletedItem","void"
"Amplifying Tome","Doran's Ring","Farsight Alteration","Liandry's Torment","Morellonomicon","Sorcerer's Shoes","void"
"Amplifying Tome","Frostfang","Ruby Crystal","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)","void"
"Frost Queen's Claim","Mercury's Treads","Ruby Crystal","Sightstone","Sweeping Lens (Trinket)","Total Biscuit of Rejuvenation","void"
"Amplifying Tome","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone"
"Aether Wisp","Frost Queen's Claim","Liandry's Torment","Needlessly Large Rod","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)"
"Doran's Ring","Frost Queen's Claim","Haunting Guise","Ionian Boots of Lucidity","Rabadon's Deathcap","Rylai's Crystal Scepter","Warding Totem (Trinket)"
"Blasting Wand","Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Rabadon's Deathcap","Rylai's Crystal Scepter"
"Aether Wisp","Corrupting Potion","Ionian Boots of Lucidity","Nomad's Medallion","Rylai's Crystal Scepter","Warding Totem (Trinket)","void"
"Enchantment: Alacrity","Frost Queen's Claim","Liandry's Torment","Oracle Alteration","Rabadon's Deathcap","Rylai's Crystal Scepter","Sightstone"
"Corrupting Potion","Enchantment: Alacrity","Eye of the Watchers","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","void"
"Boots of Speed","Frost Queen's Claim","Liandry's Torment","Needlessly Large Rod","Sweeping Lens (Trinket)","void","void"
"Blasting Wand","Enchantment: Alacrity","Frost Queen's Claim","Giant's Belt","Haunting Guise","Oracle Alteration","Sightstone"
"Boots of Mobility","Frost Queen's Claim","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","void"
"Blasting Wand","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Needlessly Large Rod","Oracle Alteration","Sightstone"
"Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Luden's Echo","Rylai's Crystal Scepter","Sightstone","Vision Ward"
"Amplifying Tome","Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Ruby Crystal","Rylai's Crystal Scepter","Sightstone"
"Bilgewater Cutlass","Farsight Alteration","Frost Queen's Claim","Hextech Revolver","Ionian Boots of Lucidity","Rylai's Crystal Scepter","void"
"Blasting Wand","Frost Queen's Claim","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes"
"Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Rylai's Crystal Scepter","Sightstone","Vision Ward","void"
"Boots of Mobility","Frost Queen's Claim","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","void","void"
"Amplifying Tome","Boots of Mobility","Frost Queen's Claim","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone"
"Boots of Mobility","Frostfang","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","void","void"
"Corrupting Potion","Farsight Alteration","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Morellonomicon","Rylai's Crystal Scepter"
"Amplifying Tome","Frostfang","Total Biscuit of Rejuvenation","Warding Totem (Trinket)","void","void","void"
"Frost Queen's Claim","Giant's Belt","Oracle Alteration","Sightstone","Sorcerer's Shoes","Total Biscuit of Rejuvenation","Zhonya's Hourglass"
"Frost Queen's Claim","Haunting Guise","Rylai's Crystal Scepter","Sightstone","Sorcerer's Shoes","Sweeping Lens (Trinket)","void"
"Blasting Wand","Frost Queen's Claim","Ionian Boots of Lucidity","Liandry's Torment","Oracle Alteration","Rylai's Crystal Scepter","Sightstone"
"Doran's Ring","Frost Queen's Claim","Ionian Boots of Lucidity","Rabadon's Deathcap","Rylai's Crystal Scepter","Warding Totem (Trinket)","void"
"Frost Queen's Claim","Liandry's Torment","Needlessly Large Rod","Oracle Alteration","Rylai's Crystal Scepter","Sightstone","deletedItem"
"Enchantment: Alacrity","Farsight Alteration","Frost Queen's Claim","Giant's Belt","Liandry's Torment","Sightstone","Vision Ward"
