"item1_1_player","item2_1_player","item3_1_player","item4_1_player","item5_1_player","item6_1_player","item7_1_player"
"Ionian Boots of Lucidity","Blasting Wand","Athene's Unholy Grail","Zhonya's Hourglass","Luden's Echo","Rabadon's Deathcap","Warding Totem (Trinket)"
"Frost Queen's Claim","Zhonya's Hourglass","Ionian Boots of Lucidity","Luden's Echo","Rabadon's Deathcap","Void Staff","Farsight Alteration"
"Rabadon's Deathcap","Health Potion","Doran's Ring","void","Athene's Unholy Grail","Ionian Boots of Lucidity","Farsight Alteration"
"Frostfang","Ionian Boots of Lucidity","Sightstone","Fiendish Codex","void","void","Sweeping Lens (Trinket)"
"Frost Queen's Claim","Seeker's Armguard","Rod of Ages","Rabadon's Deathcap","Ionian Boots of Lucidity","Needlessly Large Rod","Warding Totem (Trinket)"
"Frost Queen's Claim","Rabadon's Deathcap","Vision Ward","Rod of Ages","Ionian Boots of Lucidity","void","Warding Totem (Trinket)"
"Rabadon's Deathcap","Morellonomicon","Ionian Boots of Lucidity","void","void","Doran's Ring","Farsight Alteration"
"Doran's Ring","Athene's Unholy Grail","Ionian Boots of Lucidity","Rabadon's Deathcap","Amplifying Tome","void","Farsight Alteration"
"Doran's Ring","Athene's Unholy Grail","deletedItem","Lich Bane","Rabadon's Deathcap","void","Farsight Alteration"
"Doran's Ring","Rod of Ages","Fiendish Codex","Ninja Tabi","Abyssal Scepter","Chalice of Harmony","Warding Totem (Trinket)"
"Doran's Ring","Rabadon's Deathcap","Athene's Unholy Grail","Ionian Boots of Lucidity","Lich Bane","void","Warding Totem (Trinket)"
"Rabadon's Deathcap","Vision Ward","Athene's Unholy Grail","Ionian Boots of Lucidity","Luden's Echo","Doran's Ring","Warding Totem (Trinket)"
"Frost Queen's Claim","void","Vision Ward","void","Boots of Speed","Sightstone","Sweeping Lens (Trinket)"
"Zhonya's Hourglass","Doran's Ring","Morellonomicon","Sorcerer's Shoes","Luden's Echo","Glacial Shroud","Warding Totem (Trinket)"
"Sorcerer's Shoes","Mejai's Soulstealer","Luden's Echo","Athene's Unholy Grail","Ardent Censer","void","Farsight Alteration"
"Spectre's Cowl","Crystalline Bracer","Frost Queen's Claim","Luden's Echo","Morellonomicon","Mercury's Treads","Farsight Alteration"
"Needlessly Large Rod","Rod of Ages","Rabadon's Deathcap","Abyssal Scepter","Enchantment: Alacrity","Seeker's Armguard","Farsight Alteration"
"Morellonomicon","Blasting Wand","Amplifying Tome","Doran's Ring","Ionian Boots of Lucidity","Needlessly Large Rod","Warding Totem (Trinket)"
"Doran's Ring","Frost Queen's Claim","Zeke's Harbinger","void","void","Ionian Boots of Lucidity","Farsight Alteration"
"Frost Queen's Claim","Sightstone","Ruby Crystal","Vision Ward","Boots of Mobility","Aegis of the Legion","Sweeping Lens (Trinket)"
