"colloq","consumeOnFull","consumed","depth","description","effect.Effect1Amount","effect.Effect2Amount","effect.Effect3Amount","effect.Effect4Amount","effect.Effect5Amount","effect.Effect6Amount","effect.Effect7Amount","effect.Effect8Amount","from","gold.base","gold.purchasable","gold.sell","gold.total","group","hideFromAll","id","image.full","image.group","image.h","image.sprite","image.w","image.x","image.y","inStore","into","maps.1","maps.10","maps.11","maps.12","maps.14","maps.8","name","plaintext","requiredChampion","sanitizedDescription","specialRecipe","stacks","stats.FlatArmorMod","stats.FlatCritChanceMod","stats.FlatHPPoolMod","stats.FlatHPRegenMod","stats.FlatMPPoolMod","stats.FlatMagicDamageMod","stats.FlatMovementSpeedMod","stats.FlatPhysicalDamageMod","stats.FlatSpellBlockMod","stats.PercentAttackSpeedMod","stats.PercentLifeStealMod","stats.PercentMovementSpeedMod","tags"
"","","","2","<stats>+40 Armor</stats><br><br><unique>UNIQUE Passive - Cold Steel:</unique> When hit by basic attacks, reduces the attacker's Attack Speed by 15% for 1 seconds.","-0.15","1","","","","","","","[""1029"",""1029""]","400","true","700","1000","","","3082","3082.png","item","48","item0.png","48","96","432","","[""3110"",""3143""]","false","true","true","true","false","true","Warden's Mail","Slows Attack Speed of enemy champions when receiving basic attacks","","+40 Armor UNIQUE Passive - Cold Steel: When hit by basic attacks, reduces the attacker's Attack Speed by 15% for 1 seconds.","","","40.0","","","","","","","","","","","","[""Armor"",""Slow""]"
"dc;banksys;hat","","","2","<stats>+120 Ability Power  </stats><br><br><unique>UNIQUE Passive:</unique> Increases Ability Power by 35%.","35","","","","","","","","[""1026"",""1058"",""1052""]","1265","true","2660","3800","","","3089","3089.png","item","48","item0.png","48","384","432","","","false","false","true","true","false","true","Rabadon's Deathcap","Massively increases Ability Power","","+120 Ability Power UNIQUE Passive: Increases Ability Power by 35%.","","","","","","","","120.0","","","","","","","[""SpellDamage""]"
"","","","3","<stats>+35% Attack Speed<br>+30% Critical Strike Chance<br>+5% Movement Speed</stats><br><br><passive>Passive:</passive> Moving and attacking will make an attack <a href='Energized'>Energized</a>.<br><br><unique>UNIQUE Passive - Shiv Lightning:</unique> Your Energized attacks deal 50~120 bonus magic damage (based on level) to up to 5 targets on hit (deals +120% bonus damage to minions and can critically strike).","100","80","5","750","50","120","5","1.2","[""3086"",""2015""]","550","true","1820","2600","","","3087","3087.png","item","48","item0.png","48","336","432","","","false","true","true","true","false","true","Statikk Shiv","Movement builds charges that release chain lightning on basic attack","","+35% Attack Speed +30% Critical Strike Chance +5% Movement Speed Passive: Moving and attacking will make an attack Energized. UNIQUE Passive - Shiv Lightning: Your Energized attacks deal 50~120 bonus magic damage (based on level) to up to 5 targets on hit (deals +120% bonus damage to minions and can critically strike).","","","","0.3","","","","","","","","0.35","","0.05","[""AttackSpeed"",""CriticalStrike"",""NonbootsMovement"",""OnHit""]"
"","","","2","<stats>+15% Attack Speed<br>+20% Critical Strike Chance</stats><br><br><unique>UNIQUE Passive:</unique> +5% Movement Speed","0.05","","","","","","","","[""1051"",""1042""]","600","true","910","1300","","","3086","3086.png","item","48","item0.png","48","288","432","","[""3046"",""3078"",""3085"",""3087"",""3094""]","false","true","true","true","false","true","Zeal","Slight bonuses to Critical Strike Chance, Movement Speed and Attack Speed","","+15% Attack Speed +20% Critical Strike Chance UNIQUE Passive: +5% Movement Speed","","","","0.2","","","","","","","","0.15","","","[""AttackSpeed"",""CriticalStrike"",""NonbootsMovement""]"
"","","","3","<stats>+40% Attack Speed<br>+30% Critical Strike Chance<br>+7% Movement Speed</stats><br><br><unique>UNIQUE Passive - Wind's Fury:</unique> When basic attacking, bolts are fired at up to 2 enemies near the target, each dealing (25% of Attack Damage) physical damage. Bolts can critically strike and apply on hit effects.<br><unique>UNIQUE Passive:</unique> Basic attacks deal an additional 15 physical damage on hit.","0","25","2","15","25","1","","","[""1043"",""3086""]","300","true","1820","2600","","","3085","3085.png","item","48","item0.png","48","240","432","","","false","true","true","true","false","true","Runaan's Hurricane","Ranged attacks fire two bolts at nearby enemies","","+40% Attack Speed +30% Critical Strike Chance +7% Movement Speed UNIQUE Passive - Wind's Fury: When basic attacking, bolts are fired at up to 2 enemies near the target, each dealing (25% of Attack Damage) physical damage. Bolts can critically strike and apply on hit effects. UNIQUE Passive: Basic attacks deal an additional 15 physical damage on hit.","","","","0.3","","","","","","","","0.4","","0.07","[""AttackSpeed"",""CriticalStrike"",""NonbootsMovement"",""OnHit""]"
"","","","3","<stats>+800 Health<br>+100% Base Health Regen </stats><br><br><unique>UNIQUE Passive:</unique> Upon champion kill or assist, restores 300 Health over 5 seconds.","300","5","","","","","","","[""1011"",""3801""]","900","true","1785","2550","","","3084","3084.png","item","48","item0.png","48","192","432","","","false","true","false","false","false","true","Overlord's Bloodmail","Restores Health on kill or assist","","+800 Health +100% Base Health Regen UNIQUE Passive: Upon champion kill or assist, restores 300 Health over 5 seconds.","","","","","800.0","","","","","","","","","","[""Health"",""HealthRegen""]"
"","","","3","<stats>+850 Health<br>+200% Base Health Regen </stats><br><br><unique>UNIQUE Passive:</unique> Grants <unlockedPassive>Warmog's Heart</unlockedPassive> if you have at least 3000 maximum Health.<br><br><unlockedPassive>Warmog's Heart:</unlockedPassive> Restores 15% of maximum Health every 5 seconds if damage hasn't been taken within 8 seconds. ","0.015","5","0.15","3000","8","","","","[""3801"",""1011"",""3801""]","550","true","1995","2850","","","3083","3083.png","item","48","item0.png","48","144","432","","","false","false","true","true","false","false","Warmog's Armor","Grants massive Health and Health Regen","","+850 Health +200% Base Health Regen UNIQUE Passive: Grants Warmog's Heart if you have at least 3000 maximum Health. Warmog's Heart: Restores 15% of maximum Health every 5 seconds if damage hasn't been taken within 8 seconds.","","","","","850.0","","","","","","","","","","[""Health"",""HealthRegen""]"
"","","","3","<stats>+500 Health<br>+100% Base Health Regen <br>+2 Gold per 10 seconds</stats><br><br><unique>UNIQUE Passive - Spoils of War:</unique> Melee basic attacks execute minions below 400 Health. Killing a minion heals the owner and the nearest allied champion for 50 Health and grants them kill Gold. These effects require a nearby allied champion. Recharges every 30 seconds. Max 4 charges.<br><active>UNIQUE Active - Warding:</active> Consumes a charge to place a <font color='#BBFFFF'>Stealth Ward</font> that reveals the surrounding area for 150 seconds. Holds up to 4 charges which refill upon visiting the shop.<br><br><groupLimit>Limited to 1 Gold Income Item.</groupLimit><br><br><rules>(A player may only have 3 <font color='#BBFFFF'>Stealth Wards</font> on the map at one time. Unique Passives with the same name don't stack.)</rules>","400","50","30","4","0","0","150","0","[""2049"",""3097""]","550","true","880","2200","GoldBase","","2303","2303.png","item","48","item3.png","48","0","384","","","false","false","true","false","false","false","Eye of the Equinox","Provides Health and Stealth Wards over time","","+500 Health +100% Base Health Regen +2 Gold per 10 seconds UNIQUE Passive - Spoils of War: Melee basic attacks execute minions below 400 Health. Killing a minion heals the owner and the nearest allied champion for 50 Health and grants them kill Gold. These effects require a nearby allied champion. Recharges every 30 seconds. Max 4 charges. UNIQUE Active - Warding: Consumes a charge to place a Stealth Ward that reveals the surrounding area for 150 seconds. Holds up to 4 charges which refill upon visiting the shop. Limited to 1 Gold Income Item. (A player may only have 3 Stealth Wards on the map at one time. Unique Passives with the same name don't stack.)","","","","","500.0","","","","","","","","","","[""Active"",""GoldPer"",""Health"",""HealthRegen"",""Vision""]"
"","","","3","<stats>+200 Health<br>+150% Base Health Regen <br><mana>+100% Base Mana Regen </mana><br>+10% Cooldown Reduction</stats><br><br><unique>UNIQUE Passive - Favor:</unique> Being near a minion's death without dealing the killing blow grants 6 Gold and 10 Health.<br><active>UNIQUE Active - Warding:</active> Consumes a charge to place a <font color='#BBFFFF'>Stealth Ward</font> that reveals the surrounding area for 150 seconds. Holds up to 4 charges which refill upon visiting the shop.<br><br><groupLimit>Limited to 1 Gold Income Item.</groupLimit><br><br><rules>(A player may only have 3 <font color='#BBFFFF'>Stealth Wards</font> on the map at one time. Unique Passives with the same name don't stack.)</rules>","0","6","10","4","0","0","150","","[""2049"",""3096""]","550","true","880","2200","GoldBase","","2302","2302.png","item","48","item3.png","48","432","336","","","false","false","true","false","false","false","Eye of the Oasis","Provides Regeneration and Stealth Wards over time","","+200 Health +150% Base Health Regen +100% Base Mana Regen +10% Cooldown Reduction UNIQUE Passive - Favor: Being near a minion's death without dealing the killing blow grants 6 Gold and 10 Health. UNIQUE Active - Warding: Consumes a charge to place a Stealth Ward that reveals the surrounding area for 150 seconds. Holds up to 4 charges which refill upon visiting the shop. Limited to 1 Gold Income Item. (A player may only have 3 Stealth Wards on the map at one time. Unique Passives with the same name don't stack.)","","","","","200.0","","","","","","","","","","[""Active"",""CooldownReduction"",""GoldPer"",""Health"",""HealthRegen"",""ManaRegen"",""Vision""]"
"Void Gate","","","4","<stats>+55 Armor<br>+55 Magic Resist<br>+125% Base Health Regen <br></stats><br><unique>UNIQUE Passive - Point Runner:</unique> Builds up to +20% Movement Speed over 2 seconds while near turrets, fallen turrets and Void Gates.<br><active>UNIQUE Active:</active> Spawns a <a href='VoidGate'>Void Gate</a> for 150 seconds (150 second cooldown).<br><br>Every 4 seconds the gate makes a <a href='Voidspawn'>Voidspawn</a>. The first and every fourth Voidspawn gains 15% of maximum Health as damage.","20","4","50","20","150","150","0.5","0.15","[""2053"",""1057""]","780","true","1890","2700","","","3512","3512.png","item","48","item2.png","48","96","192","","","false","false","true","false","false","false","Zz'Rot Portal","Makes a Voidspawn generating Void Gate to push a lane with.","","+55 Armor +55 Magic Resist +125% Base Health Regen UNIQUE Passive - Point Runner: Builds up to +20% Movement Speed over 2 seconds while near turrets, fallen turrets and Void Gates. UNIQUE Active: Spawns a Void Gate for 150 seconds (150 second cooldown). Every 4 seconds the gate makes a Voidspawn. The first and every fourth Voidspawn gains 15% of maximum Health as damage.","","","55.0","","","","","","","","55.0","","","","[""Active"",""Armor"",""HealthRegen"",""NonbootsMovement"",""SpellBlock""]"
